Period,Sector,ABN,Institution Name,Service Channel Type,State,sa4_code,sa3_code,sa2_code,suburb,Lat,Lon,ra_code,Number
30/06/2024,MAJ,11005357522,Australia and New Zealand Banking Group Limited,ATMs,QLD,Darling Downs - Maranoa,Darling Downs (West) - Maranoa,Roma,Roma,-26.57263,148.75497,Outer Regional Australia,1
30/06/2024,MAJ,11005357522,Australia and New Zealand Banking Group Limited,ATMs,QLD,Darling Downs - Maranoa,Granite Belt,Warwick,Warwick (Qld),-28.21707,152.03199,Inner Regional Australia,1
30/06/2024,MAJ,11005357522,Australia and New Zealand Banking Group Limited,ATMs,NT,Darwin,Darwin City,Darwin City,Darwin City,-12.46125,130.84238,Outer Regional Australia,3
30/06/2024,MAJ,11005357522,Australia and New Zealand Banking Group Limited,ATMs,NT,Darwin,Darwin Suburbs,Brinkin - Nakara,Casuarina (NT),-12.37506,130.88252,Outer Regional Australia,3
30/06/2024,MAJ,11005357522,Australia and New Zealand Banking Group Limited,ATMs,NT,Darwin,Darwin Suburbs,Coconut Grove,Coconut Grove,-12.39018,130.85116,Outer Regional Australia,1
30/06/2024,MAJ,11005357522,Australia and New Zealand Banking Group Limited,ATMs,NT,Darwin,Palmerston,Palmerston - North,Yarrawonga (NT),-12.47138,130.98275,Outer Regional Australia,1
30/06/2024,MAJ,11005357522,Australia and New Zealand Banking Group Limited,ATMs,NSW,Far West and Orana,Broken Hill and Far West,Broken Hill,Broken Hill,-31.95786,141.4669,Outer Regional Australia,2
30/06/2024,MAJ,11005357522,Australia and New Zealand Banking Group Limited,ATMs,NSW,Far West and Orana,Dubbo,Dubbo - South,Dubbo,-32.24939,148.60024,Inner Regional Australia,3
30/06/2024,MAJ,11005357522,Australia and New Zealand Banking Group Limited,ATMs,NSW,Far West and Orana,Dubbo,Narromine,Narromine,-32.23218,148.24,Outer Regional Australia,1
30/06/2024,MAJ,11005357522,Australia and New Zealand Banking Group Limited,ATMs,VIC,Geelong,Geelong,Geelong,Geelong,-38.14728,144.3616,Major Cities of Australia,2
30/06/2024,MAJ,11005357522,Australia and New Zealand Banking Group Limited,ATMs,VIC,Geelong,Geelong,Geelong West - Hamlyn Heights,Geelong West,-38.14163,144.34792,Major Cities of Australia,2
30/06/2024,MAJ,11005357522,Australia and New Zealand Banking Group Limited,ATMs,VIC,Geelong,Geelong,Grovedale - Mount Duneed,Grovedale,-38.19909,144.32065,Major Cities of Australia,2
30/06/2024,MAJ,11005357522,Australia and New Zealand Banking Group Limited,ATMs,VIC,Geelong,Surf Coast - Bellarine Peninsula,Ocean Grove,Ocean Grove,-38.26804,144.52327,Inner Regional Australia,1
30/06/2024,MAJ,11005357522,Australia and New Zealand Banking Group Limited,ATMs,VIC,Geelong,Surf Coast - Bellarine Peninsula,Torquay,Torquay (Vic.),-38.33171,144.32131,Inner Regional Australia,1
30/06/2024,MAJ,11005357522,Australia and New Zealand Banking Group Limited,ATMs,QLD,Gold Coast,Broadbeach - Burleigh,Broadbeach Waters,Broadbeach Waters,-28.03656,153.42782,Major Cities of Australia,2
30/06/2024,MAJ,11005357522,Australia and New Zealand Banking Group Limited,ATMs,QLD,Gold Coast,Broadbeach - Burleigh,Burleigh Waters,Burleigh Waters,-28.09751,153.44109,Major Cities of Australia,2
30/06/2024,MAJ,11005357522,Australia and New Zealand Banking Group Limited,ATMs,QLD,Gold Coast,Coolangatta,Coolangatta,Coolangatta (Qld),-28.16847,153.53678,Major Cities of Australia,2
30/06/2024,MAJ,11005357522,Australia and New Zealand Banking Group Limited,ATMs,QLD,Gold Coast,Coolangatta,Elanora,Elanora,-28.13447,153.46857,Major Cities of Australia,2
30/06/2024,MAJ,11005357522,Australia and New Zealand Banking Group Limited,ATMs,QLD,Gold Coast,Ormeau - Oxenford,Coomera,Coomera,-27.8525,153.31458,Major Cities of Australia,1
30/06/2024,MAJ,11005357522,Australia and New Zealand Banking Group Limited,ATMs,QLD,Gold Coast,Ormeau - Oxenford,Helensvale,Helensvale,-27.9275,153.3391,Major Cities of Australia,3
30/06/2024,MAJ,11005357522,Australia and New Zealand Banking Group Limited,ATMs,QLD,Gold Coast,Robina,Robina - West,Robina,-28.07782,153.38422,Major Cities of Australia,2
30/06/2024,MAJ,11005357522,Australia and New Zealand Banking Group Limited,ATMs,QLD,Gold Coast,Southport,Ashmore,Ashmore,-27.97755,153.38089,Major Cities of Australia,3
30/06/2024,MAJ,11005357522,Australia and New Zealand Banking Group Limited,ATMs,QLD,Gold Coast,Southport,Southport - North,Southport (Qld),-27.96866,153.41491,Major Cities of Australia,3
30/06/2024,MAJ,11005357522,Australia and New Zealand Banking Group Limited,ATMs,QLD,Gold Coast,Surfers Paradise,Surfers Paradise - North,Surfers Paradise,-28.00113,153.42872,Major Cities of Australia,4
