Period,Service Channel Type,State,sa4_code,sa3_code,sa2_code,Suburb,Lat,Lon,ra_code
30/06/2024,Bank@Post,SA,Adelaide - North,Port Adelaide - East,Enfield - Blair Athol,Clearview,-34.85873805,138.6177831,Major Cities of Australia
30/06/2024,Bank@Post,SA,Adelaide - North,Port Adelaide - East,Enfield - Blair Athol,Enfield (SA),-34.85306694,138.6010385,Major Cities of Australia
30/06/2024,Bank@Post,SA,Adelaide - North,Port Adelaide - East,Enfield - Blair Athol,Dry Creek (SA),-34.836902,138.588329,Major Cities of Australia
30/06/2024,Bank@Post,SA,Adelaide - North,Port Adelaide - East,Valley View - Gilles Plains,Gilles Plains,-34.85610155,138.6550077,Major Cities of Australia
30/06/2024,Bank@Post,SA,Adelaide - North,Port Adelaide - East,Windsor Gardens,Klemzig,-34.87935982,138.6355093,Major Cities of Australia
30/06/2024,Bank@Post,SA,Adelaide - North,Port Adelaide - East,Windsor Gardens,Greenacres,-34.870248,138.634922,Major Cities of Australia
30/06/2024,Bank@Post,SA,Adelaide - North,Salisbury,Ingle Farm,Ingle Farm,-34.82954407,138.6477549,Major Cities of Australia
30/06/2024,Bank@Post,SA,Adelaide - North,Salisbury,Para Hills,Para Hills,-34.81019916,138.6531227,Major Cities of Australia
30/06/2024,Bank@Post,SA,Adelaide - North,Salisbury,Parafield Gardens,Parafield Gardens,-34.791111,138.616983,Major Cities of Australia
30/06/2024,Bank@Post,SA,Adelaide - North,Salisbury,Paralowie,Paralowie,-34.758739,138.596058,Major Cities of Australia
30/06/2024,Bank@Post,SA,Adelaide - North,Salisbury,Pooraka - Cavan,Pooraka,-34.83204877,138.6121659,Major Cities of Australia
30/06/2024,Bank@Post,SA,Adelaide - North,Salisbury,Salisbury,Salisbury South,-34.786527,138.644261,Major Cities of Australia
30/06/2024,Bank@Post,SA,Adelaide - North,Salisbury,Salisbury,Brahma Lodge,-34.77337315,138.6583402,Major Cities of Australia
30/06/2024,Bank@Post,SA,Adelaide - North,Salisbury,Salisbury,Salisbury Downs,-34.767985,138.62465,Major Cities of Australia
30/06/2024,Bank@Post,SA,Adelaide - North,Salisbury,Salisbury,Salisbury (SA),-34.76067971,138.6459908,Major Cities of Australia
30/06/2024,Bank@Post,SA,Adelaide - North,Salisbury,Salisbury East,Salisbury East,-34.79068572,138.6538088,Major Cities of Australia
30/06/2024,Bank@Post,SA,Adelaide - North,Salisbury,Salisbury North,Salisbury North,-34.74877497,138.6214251,Major Cities of Australia
30/06/2024,Bank@Post,SA,Adelaide - North,Salisbury,Salisbury North,Burton (SA),-34.74098994,138.6050631,Major Cities of Australia
30/06/2024,Bank@Post,SA,Adelaide - North,Salisbury,Salisbury North,Edinburgh,-34.71495111,138.6471559,Major Cities of Australia
30/06/2024,Bank@Post,SA,Adelaide - North,Tea Tree Gully,Golden Grove,Golden Grove,-34.78688372,138.7017568,Major Cities of Australia
30/06/2024,Bank@Post,SA,Adelaide - North,Tea Tree Gully,Greenwith,Greenwith,-34.7711795,138.7070302,Major Cities of Australia
30/06/2024,Bank@Post,SA,Adelaide - North,Tea Tree Gully,Highbury - Dernancourt,Dernancourt,-34.86221899,138.6827539,Major Cities of Australia
30/06/2024,Bank@Post,SA,Adelaide - North,Tea Tree Gully,Highbury - Dernancourt,Highbury (SA),-34.85304962,138.6984014,Major Cities of Australia
30/06/2024,Bank@Post,SA,Adelaide - North,Tea Tree Gully,Hope Valley - Modbury,Modbury,-34.84452829,138.6719194,Major Cities of Australia
30/06/2024,Bank@Post,SA,Adelaide - North,Tea Tree Gully,Hope Valley - Modbury,Hope Valley (SA),-34.843804,138.699942,Major Cities of Australia
30/06/2024,Bank@Post,SA,Adelaide - North,Tea Tree Gully,Hope Valley - Modbury,Modbury,-34.82927839,138.6730364,Major Cities of Australia
30/06/2024,Bank@Post,SA,Adelaide - North,Tea Tree Gully,Redwood Park,Surrey Downs,-34.80584826,138.7021828,Major Cities of Australia
30/06/2024,Bank@Post,SA,Adelaide - North,Tea Tree Gully,St Agnes - Ridgehaven,St Agnes (SA),-34.821711,138.716959,Major Cities of Australia
30/06/2024,Bank@Post,SA,Adelaide - South,Holdfast Bay,Brighton (SA),Brighton (SA),-35.021083,138.522888,Major Cities of Australia
30/06/2024,Bank@Post,SA,Adelaide - South,Holdfast Bay,Brighton (SA),Hove,-35.00841863,138.5219648,Major Cities of Australia
30/06/2024,Bank@Post,SA,Adelaide - South,Holdfast Bay,Glenelg (SA),Glenelg South,-34.9900849,138.5178601,Major Cities of Australia
30/06/2024,Bank@Post,SA,Adelaide - South,Holdfast Bay,Glenelg (SA),Glenelg (SA),-34.97890318,138.5197235,Major Cities of Australia
30/06/2024,Bank@Post,SA,Adelaide - South,Marion,Edwardstown,Edwardstown,-34.98146351,138.572586,Major Cities of Australia
30/06/2024,Bank@Post,SA,Adelaide - South,Marion,Edwardstown,South Plympton,-34.97678007,138.5561967,Major Cities of Australia
30/06/2024,Bank@Post,SA,Adelaide - South,Marion,Hallett Cove,Hallett Cove,-35.076899,138.517336,Major Cities of Australia
30/06/2024,Bank@Post,SA,Adelaide - South,Marion,Marino - Seaview Downs,Seacliff Park,-35.030118,138.532222,Major Cities of Australia
30/06/2024,Bank@Post,SA,Adelaide - South,Marion,Morphettville,Park Holme,-34.99452424,138.555817,Major Cities of Australia
30/06/2024,Bank@Post,SA,Adelaide - South,Marion,Morphettville,Morphettville,-34.988169,138.539242,Major Cities of Australia
30/06/2024,Bank@Post,SA,Adelaide - South,Marion,Morphettville,Plympton Park,-34.980489,138.548844,Major Cities of Australia
30/06/2024,Bank@Post,SA,Adelaide - South,Marion,Warradale,Warradale,-34.997365,138.530484,Major Cities of Australia
30/06/2024,Bank@Post,SA,Adelaide - South,Mitcham,Belair,Belair,-34.998738,138.622895,Major Cities of Australia
30/06/2024,Bank@Post,SA,Adelaide - South,Mitcham,Bellevue Heights,Bedford Park,-35.0260109,138.5725493,Major Cities of Australia
30/06/2024,Bank@Post,SA,Adelaide - South,Mitcham,Blackwood,Blackwood (SA),-35.021081,138.616182,Major Cities of Australia
30/06/2024,Bank@Post,SA,Adelaide - South,Mitcham,Colonel Light Gardens,Daw Park,-34.979989,138.591377,Major Cities of Australia
30/06/2024,Bank@Post,SA,Adelaide - South,Mitcham,Mitcham (SA),Torrens Park,-34.975133,138.610341,Major Cities of Australia
30/06/2024,Bank@Post,SA,Adelaide - South,Mitcham,Panorama,Pasadena,-35.00168765,138.5900279,Major Cities of Australia
